ID,TITLE,ADDRESS,LAT,LON,TEL,OPEN_TIME,PAGE,CATEGORY,DESCRIPTION,STORE_OF_KAKAO
CNTS_000000000019728,제주소랑,제주특별자치도 제주시 한림읍 명상로 19,33.374916,126.281364,070-8232-8242,,,,제주 명월리 특산물 명월초 관련 건강식품 제조 및 판매,
CONT_000000000500725,아름낭,제주특별자치도 서귀포시 중산간서로157번길 26,33.258267,126.4946813,064-738-6081,정보없음,정보없음,분류: 생활용품제조,1980년부터 제주도에 전통가구 공방을 설립한 뒤로 35년간 오직 친환경 수제품만 제작해온 목공예 브랜드,5.0점
CNTS_200000000007088,아꼬화,제주특별자치도 제주시 동광로 102,33.5056021,126.5386239,064-758-0964,정보없음,정보없음,"분류: 꽃집,꽃배달",남들과는 조금 다른 여행을 계획하고 있는 당신. 사랑하는 사람과 두 손 꼭 잡고 제주행 비행기에 올라 일정을 체크하고 있는가. 완벽한 셀프웨딩촬영을 위해 제주시내의 꽃집을 찾고 있다면 아꼬화를 방문해보자.,5.0점
CNTS_200000000008039,승희상회,제주특별자치도 제주시 구좌읍 종달로5길 32-1,33.4924926,126.8970535,064-783-3237,정보없음,정보없음,분류: 식품판매,"어릴 적 추억을 떠올리게 하는 작은 가게
",4.5점
CONT_000000000500721,디자인에이비,제주특별자치도 제주시 한경면 판포4길 22,33.3630264,126.2015472,070-738-8201,,,,제주 콘텐츠 디자인 상품을 개발 및 판매하는 디자인에이비,
CONT_000000000500727,바당의물질,제주특별자치도 제주시 임항로 49,33.5168,126.529816,064-758-3945,,,,"각종 해산물, 지역특산품, 가공식품 등 판매",
CNTS_200000000008154,곱은달사진관,제주특별자치도 제주시 조천읍 곱은달길 24,33.513688,126.6710737,010-7149-3147,,,,조천읍에 위치한 흑백사진관,
CNTS_000000000022128,인한복,제주특별자치도 제주시 정존3길 1-3,33.48196,126.473465,064-757-3118,,,,인한복은 한복체험 서비스를 제공한다.,
CNTS_000000000021302,아트앤제주,제주특별자치도 제주시 월광로 135,33.491364,126.47258,064-784-5260,,,,제주 특산물 쇼핑과 공예 체험을 한번에,
CNTS_200000000009176,캔북스,제주특별자치도 제주시 남광로4길 27,33.4912491,126.5403833,010-4441-5991,,,,캔버스(canvas)와 북(book)을 합성한 단어인 캔북스는 미술을 전공한 부부가 문을 연 작업실 겸 미술 전문 서점이다. ,
CNTS_200000000007112,프레쉬모먼트,제주특별자치도 제주시 인다2길 8,33.4672955,126.5451146,064-702-7123,,,,"차근차근 사진 찍을 장소와 의상까지 마련해 놓았다면, 예비 신혼부부가 함께 웨딩부케를 만들어보자.",
CNTS_200000000007109,안나네꽃마을,제주특별자치도 제주시 한라대학로 79,33.4765121,126.4788415,064-712-1577,정보없음,정보없음,"분류: 꽃집,꽃배달",제주국제공항과 가까운 곳에 자리 잡고 있어 여행 전후로 많은 사람들이 찾는 꽃집 안나네꽃마을.,5.0점
CONT_000000000500737,올레바다,제주특별자치도 서귀포시 이어도로 903-1,33.23716,126.51119,010-8663-7205,,,,"귤, 한라봉, 천혜향 등 직접 재배한 제주 특산 과일을 판매",
CNTS_200000000007111,얼리스프링플라워,제주특별자치도 제주시 구남동2길 45-12,33.4875778,126.5345648,064-702-7123,,,,"작은 규모이지만 플라워 클래스와 웨딩, 화분, 가드닝을 모두 진행하고 있는 얼리스프링 플라워스튜디오.",
CNTS_000000000022837,몸냥공작소,제주특별자치도 제주시 애월읍 하소로 595,33.430614,126.39747,--,14:00 ~ 19:00,www.instagram.com/momnyang595,"분류: 수예,자수",귀엽고 제주스러운 유니크한 소품가게,5.0점
CNTS_000000000021864,미앤제주,제주특별자치도 제주시 한림읍 광산로 942,33.34772,126.35681,010-6405-3656,,,,화산석과 제주의 향을 이용하여 나만의 디자인 아이템을 만들 수 있는 곳,
CNTS_200000000014096,아라도예,제주특별자치도 제주시 애월읍 광령6길 2,33.3701721,126.4819697,010-3696-1573,,,,김수현 작가의 제주식 분청사기,
CNTS_200000000012175,동문시장 ,제주특별자치도 제주시 동문로 16,33.5127431,126.5283168,064-722-3284,,,,"각종 갈옷, 한복, 옷감 등 포목점을 주로 이루는 상가건물형 상설시장",
CNTS_000000000020911,우생당,제주특별자치도 제주시 관덕로 42,33.5129944,126.5238266,064-722-2107,정보없음,정보없음,분류: 서점,1945년부터 운영하고 있는 제주시내 서점,5.0점
CNTS_000000000022833,시티오브드림즈,제주특별자치도 제주시 관덕로11길 17,33.514656,126.525246,064-702-6189,,,,"세계유명 도시, 꿈의 도시를 모티브로한 복합쇼핑몰",
CNTS_000000000021301,아코하루,제주특별자치도 제주시 매촌2길 80,33.5096625,126.5904168,064-784-5220,11:00 ~ 19:00,정보없음,"분류: 미술,공예",도자기로 만든 멋진 소품,1.0점
CONT_000000000500760,한마음한라봉,제주특별자치도 제주시 애월읍 애월해안로 32,33.451775,126.308685,064-799-3859,,,,제주영농조합법인에서 운영하는 제주특산물 판매처,
CNTS_200000000009174,책약방,제주특별자치도 제주시 구좌읍 종달로5길 11,33.4840385,126.9014964,,00:00 ~ 24:00,www.instagram.com/chaekyakbang,분류: 서점,사람 대신 책이 지키는 책방,4.6점
CNTS_200000000008045,인연의숲,제주특별자치도 제주시 구좌읍 종달로5길 17,33.4880673,126.8804954,010-2542-7278,정보없음,정보없음,분류: 패션잡화점,"종달리에 위치한 기록형 잡화점
",3.0점
CNTS_000000000022548,용연낚시,제주특별자치도 제주시 용담2동 465,33.513515,126.51328,-6548,,,,제주공항근처에 위치한 낚시용품 전문점이다.,
CNTS_200000000007110,한라꽃방,제주특별자치도 서귀포시 이중섭로 34,33.2449997,126.5643448,064-733-3059,10:00 ~ 21:00,www.hallaflower.com,"분류: 꽃집,꽃배달",과거 이중섭이 머물며 많은 작품을 남겼던 생가. 그 주변으로 조성된 이중섭 문화의 거리. 이곳에는 이중섭 박물관을 비롯해 카페와 소품샵 등 다양한 볼거리가 들어서 있다. 그리고 그 자리에 40년을 머물며 과거와 현재를 아우르는 한라꽃방.,5.0점
CNTS_200000000007257,풍년상회,제주특별자치도 제주시 조천읍 신북로 220,33.5356003,126.6365084,,,,,화려하지 않은 외관에 수수한 매력이 있는 소품가게이다.,
CNTS_200000000007251,큰손상회,제주특별자치도 제주시 구좌읍 행원로1길 26-2,33.554242,126.8004857,,,,, 독특한 외관이 매력적인 기념품 가게이다.,
CNTS_200000000007334,마야블루,제주특별자치도 제주시 월랑로6길 21,33.4895696,126.4785925,010-8515-2470,,,,마야블루는 제주 시내의 주택가 사이에 작은 간판으로 자신의 존재를 알리고 있다. 이곳은 소품 판매와 함께 공방을 운영하면서 드림캐처와 캔들 등 직접 만들어 볼 수 있는 원데이 클래스도 진행하고 있다,
CNTS_200000000011815,제주그림,제주특별자치도 서귀포시 효돈로 94,33.2631103,126.6090828,010-3904-1711,,,,제주의 잘 알려지지 않은 문화유산을 제품을 통해 이야기한다.,
CNTS_200000000007337,아리아,제주특별자치도 제주시 인다3길 5,33.4261379,126.5626925,010-5149-9070,,,,"제주시 아라동 빌라 1층에 있는 쓸모있는 생활잡화점은 소품샵 이름 그대로 쓸모 있는 생활 잡화들이 가득한 곳이다. 특히 라탄 소재의 잡화들이 많은데, 여러 색상과 각양각색의 무늬를 가진 라탄 소품이 넘쳐난다.",
CNTS_200000000008616,천진낭만,제주특별자치도 제주시 우도면 우도해안길 108,33.5033191,126.9556775,010-4337-0120 ,정보없음,www.instagram.com/cjnangman_udo,분류: 기념품판매,"우도천진항 인근에 위치한 소품숍. 
",4.3점
CNTS_200000000009177,언제라도,제주특별자치도 제주시 구좌읍 문주란로5길 34-2,33.5204746,126.8875582,010-2956-1087,13:00 ~ 16:00,www.instagram.com/unjeradobooks,분류: 서점,바닷가와 가까운 조용한 마을에 자리 잡은 서점,3.8점
CNTS_000000000022113,메이드인제주,제주특별자치도 제주시 조천읍 중산간동로 804-16,33.4918364,126.6680718,064-758-0404,,,,국민건강을 생각하는 기업 (주)메이드인제주,
CNTS_000000000019322,마켓오름,제주특별자치도 서귀포시 이어도로 1061,33.24605,126.52413,064-739-3223,정보없음,blog.naver.com/market_oreum,분류: 식품판매,직접 재배한 다양한 품종의 귤 및 수제식품 판매,3.7점
CONT_000000000500753,지소울,제주특별자치도 제주시 진남로10길 7,33.520097,126.5677523,064-747-7205 ,,,,제주를 담는 비누판매와 체험이 가능한 온오프라인 공간,
CNTS_000000000022120,제이어스,제주특별자치도 제주시 중앙로 217,33.500313,126.53004,064-702-2385,,,,"(주)제이어스는 (재)제주테크노파크가 전액 출자한 별도법인으로서, (재)제주테크노파크에서 추진하는 브랜드의 사업운영 및 관리를 담당하며 자체 화장품 브랜드인 '제이듀'와 '에코시아'를 보유하고 있습니다.",
CNTS_200000000009178,사슴책방,제주특별자치도 제주시 조천읍 중산간동로 698-71,33.4958502,126.6588722,010-7402-9077,,,,"일러스트 작가가 직접 운영하는 일러스트레이션, 그림 전문 서점",
CNTS_200000000014089,저지리약용작물유통센터,제주특별자치도 제주시 한경면 저지12길 72-16,33.3368939,126.2634373,064-796-8285,,,,갈빛 제주 라이프스타일을 제안하는 갈옷 장인,
CNTS_200000000008023,도예시선,제주특별자치도 제주시 구좌읍 종달논길 36-18,33.4880673,126.8804954,010-5202-6705,,,,도자기 공방과 함께 운영하는 도자기 소품 가게 ,
CNTS_000000000022703,바다보석,제주특별자치도 서귀포시 중앙로4번길 20,33.2452871,126.5641716,--,,,,"바다에서 주운 조개, 소라로 만드는 액세서리",
CNTS_000000000022362,이제주숍,제주특별자치도 제주시 연삼로 473,33.4994261,126.5405872,064-751-3360,09:00 ~ 18:00,mall.ejeju.net,분류: 기념품판매,제주특별자치도가 운영하는 제주시내 특산품전시판매장,5.0점
CNTS_200000000008081,기영상회,제주특별자치도 제주시 한림읍 한림로 345,33.3934382,126.2400058,064-796-4715,08:00 ~ 22:00,정보없음,분류: 슈퍼마켓,협재해수욕장 가까이 위치한 바틀샵,3.9점
CNTS_200000000014091,푸른콩방주,제주특별자치도 서귀포시 중산간서로 740,33.2632854,126.4361834,064-738-7778,,,,전통과 종 다양성을 지켜야 한다는 사명,
CNTS_000000000021580,제주시농협농산물직거래센터,제주특별자치도 제주시 남광로 206,33.502964,126.553696,064-729-1551,,,,농산물을 직거래 할 수 있는 제주농산물직거래 센터,
CNTS_200000000014297,스마일러펫,제주특별자치도 제주시 애월읍 상고길 47,33.46993,126.4159529,,,,,"스마일러펫은 악어, 파충류, 열대어, 육지거북을 관람할 수 있고, 토끼, 돼지, 염소 등 당근 주기 체험도 가능한 곳이다.",
CNTS_200000000007202,바이제주,제주특별자치도 제주시 서해안로 626,33.5166158,126.5041244,064-745-1134,09:00 ~ 21:30,blog.naver.com/byjeju365,분류: 기념품판매, 공항근처  기념품 가게이다.,3.6점
CNTS_200000000014235,펫마마스푸드,제주특별자치도 서귀포시 대정읍 최남단해안로127번길 13,33.2115793,126.2589391,0507-1347-4504,10:00 ~ 17:00,petmamasfood.com,분류: 반려동물용품,"펫마마스푸드는 청정 제주를 담아 사료와 간식, 베이커리를 핸드메이드로 반려동물의 올바른 먹거리를 만드는 곳이다. ",5.0점
CNTS_200000000009193,팰롱팰롱 빛나는,제주특별자치도 제주시 구좌읍 월정3길 58,33.5468086,126.7838117,064-784-5556,,,,제주의 풍경을 비누에 담다,
CNTS_000000000022310,다나한한복,제주특별자치도 제주시 연삼로 355,33.492897,126.53028,064-722-0022,,,,"웨딩한복, 혼주한복, 돌잔치 가족한복 등 제주한복대여 및 맞춤 전문점",
CNTS_000000000022414,곱은과일,제주특별자치도 서귀포시 동문로 10,33.2519,126.56226,010-2834-2242,정보없음,정보없음,"분류: 과일,채소가게",동문시장에 위치한 서귀포 위미농협 감귤 전문 판매장,5.0점
CNTS_000000000022358,당근가게,제주특별자치도 제주시 서광로5길 4,33.5006538,126.5144791,064-756-3999,,,,제주도의 상설프리마켓. 제주도의 작가분들이 직접 만드신 제주도만의 소품들을 만날 수 있는곳.,
CNTS_000000000020422,소심한책방,제주특별자치도 제주시 구좌읍 종달동길 29-6,33.49149,126.903114,070-8147-0848,10:00 ~ 18:00,sosimbook.com,분류: 서점,"동쪽 마을 끝자락, 작고 작은 동네 책방",4.5점
CNTS_000000000022025,우도아이,제주특별자치도 제주시 우도면 우도해안길 814,33.5033191,126.9556775,064-784-8689,,,,우도의 아름다운 바다와 풍경을 담은 핸드메이드 기념품샵,
CONT_000000000500739,자연이야기,제주특별자치도 제주시 월랑로 6 21 (노형동),33.489986,126.47918,010-3389-1388,,,,"천연비누,천연화장품, 소이캔들 전문 공방",
CNTS_000000000020318,샘스제주캔들,제주특별자치도 제주시 애월읍 애월로1길 26-2,33.4625986,126.3099425,010-9869-3309,정보없음,www.jejucandle.com,분류: 인테리어장식판매,애월 리치망고 옆에 위치한 핸드메이드 캔들샵,5.0점
CNTS_000000000020679,그꽃,제주특별자치도 제주시 구좌읍 월정1길 55,33.556217,126.79276,010-9115-7405,정보없음,jeju-flower.kr,"분류: 꽃집,꽃배달",변하지 않는 프리저브드 플라워 전문 꽃집,4.0점
CNTS_200000000007247,모이소,제주특별자치도 제주시 신광로8길 14,33.4871077,126.4886002,064-745-6454 ,10:00 ~ 20:00,jejumoiso.modoo.at,분류: 기념품판매,제주의 특별함을 간직하고 알리는 모이소 .,3.8점
CNTS_000000000022039,더아일랜더,제주특별자치도 제주시 중앙로7길 31 102호,33.5149044,126.5281048,0507-1317-5562,11:00 ~ 20:00,the-islander.co.kr,분류: 기념품판매,중앙로에 자리한 제주도아트-기념품 매장,4.6점
CNTS_000000000021338,돌코롱,제주특별자치도 서귀포시 대정읍 마라로 41,33.119938,126.26721,064-792-6337,,,,마라도에서 정통 한과를 제조 판매하는 돌코롱입니다.,
CNTS_200000000007338,옥수카페,제주특별자치도 제주시 애월읍 소길1길 19,33.4194584,126.383518,010-5520-6516,,,,조용한 마을 속 돌담길을 지나 들어가면 라탄 소품을 판매하는 골목 카페인 옥수카페,
CNTS_000000000022047,베리제주,제주특별자치도 제주시 애월읍 고내로7길 45-14,33.4665659,126.3364409,064-746-7520,,,,"제주를 테마로 한 디자인문화상품 수백가지 뿐만 아니라 제주 농수산물로 만든 식품류, 제주에 관련된 서적, 제주 뮤지션들의 음반도 한자리에",
CNTS_000000000021003,언타이틀보틀샵,제주특별자치도 서귀포시 성산읍 오조로 93,33.462036,126.91461,--,,,,일상 더하기 위트 = B일상 잡화점,
CONT_000000000500746,제주민속식품,제주특별자치도 제주시 구좌읍 번영로 2178,33.4281,126.75104,064-782-1500,,,,"꿩엿, 전복엿 등 다양한 제주 건강식품 제조 및 판매
",
CNTS_000000000020717,산호상점,제주특별자치도 제주시 구좌읍 김녕로2길 20,33.553776,126.74344,064-782-7320,,,,산호상점에서 만들어낸 제주스러움,
CONT_000000000500730,삼다닷컴,제주시 연삼로 295-1,33.492626,126.52447,064-752-0001,,,,No.1 제주농수축산 전문 쇼핑몰 직매장,
CNTS_000000000020310,뷰티풀제주,제주특별자치도 제주시 용마로4길 5-3,33.5158997,126.5058954,064-725-8246,,,,예쁘고 아기자기한 도자기 공예품 샵,
CNTS_000000000022749,바이올가 서귀포영어마을점,제주특별자치도 서귀포시 대정읍 에듀시티로 40,33.2582832,126.2706274,064-792-6242,정보없음,www.orga.co.kr,분류: 올가,"채소, 과일, 양곡, 가공식품등을 판매하는 친환경식품판매점",3.0점
CNTS_200000000011593,미카의달콤한작업실,제주특별자치도 서귀포시 안덕면 사계남로84번길 4,33.2267425,126.2990068,010-2723-0508,10:00 ~ 18:00,www.mrscacao.com,분류: 초콜릿," 제주도의 자연을 달콤하게 제작, 판매하는  제주여행선물로 인기있는 수제초콜릿가게",4.8점
