ID,TITLE,ADDRESS,LAT,LON,TEL,TEL,OPEN_TIME,CATEGORY,DESCRIPTION,STORE_OF_NAVER,IMG_LINK
CNTS_200000000009101,해적선,제주특별자치도 제주시 추자면 추자로 42-1,33.9627586,126.2952052,010-8623-8229,0507-1350-7112,,생선회,추자도에서 잡히는 싱싱한 생선으로 요리하는 음식점,,
CNTS_000000000001014,영춘식당,제주특별자치도 제주시 도남로7길 37-1,33.4968895,126.5273627,064-900-2770,0507-1425-2773,,한식,"육개장, 갈비탕 전문점으로 정식과 두루치기를 판매하는 가족경영의 착한가격업소 영춘식당",4.57,
CNTS_200000000009113,황금섬숯불갈비,제주특별자치도 제주시 추자면 추자로 36,33.9636778,126.2957655,064-742-0478,064-742-0478,,"육류,고기요리",추자에서 즐기는 제주산 돼지고기,4.25,
CONT_000000000501383,추가네,제주특별자치도 제주시 서사로 176(오라일동),33.496532,126.51957,064-723-7588,064-723-7588,,추어탕,"착한가격업소, 야채를 새벽시장에서 저렴하게 구입하고, 국내산 미꾸라지로 추어탕이 유명한 음식점",4.24,
CNTS_200000000008501,리틀비엣,제주특별자치도 제주시 인다7길 16,33.4515309,126.5632259,064-725-6884,0507-1329-6884,일정기휴무 (매주 일요일),베트남음식,제주시 아라동에 위치한 베트남 음식점. ,4.45,
CNTS_000000000022036,바람이풀에그림그린날,안덕면 감산서로 59,33.25785,126.34991,064-792-3657,0507-1449-3657,일정기휴무 (매주 일요일),피자,자연산치즈와 저온숙성한 수제도우를 사용한 건강한 피자카페,4.72,
CONT_000000000501392,탐라가든,제주특별자치도 제주시 서사로 51,33.5078115,126.5203642,064-726-1300,064-726-1300,,"육류,고기요리",공항 근처에 위치한 값싸고 질 좋은 흑돼지를 제공하는 착한가격업소,4.42,
CNTS_200000000009079,추자북경,제주특별자치도 제주시 추자면 신양서길 13-9,33.9354341,126.3227638,010-2260-7616,010-2260-7616,,중식당,추자도에서 맛볼 수 있는 중국음식점,,
CNTS_200000000007129,몰질식육식당,제주특별자치도 서귀포시 이어도로 598,33.2615636,126.49447,,064-739-1542,,한식,고기짬뽕이 유명한 한식당,4.31,
CNTS_000000000021641,심봉사눈뜬톳해물짜장짬뽕,제주특별자치도 서귀포시 대정읍 마라로 43,33.119724,126.26715,064-794-0489,064-794-0489,매일10:00 - 15:30,중식당,마라도 톳 해물 짜장 짬뽕 전문점.,4.04,
CNTS_200000000009094,올레실내포장마차,제주특별자치도 제주시 추자면 추자로 52,33.9642903,126.2929862,064-742-2070,064-742-2070,,포장마차,추자에서 추자도특미와 함께하는 포장마차,3.94,
CNTS_200000000009085,고향향토장터,제주특별자치도 제주시 추자면 추자로 576,33.9354341,126.3227638,064-747-8035,064-747-8035,,"해물,생선요리",계절마다 바뀌는 추자도 특산물 음식점,3.88,
CNTS_000000000022213,빠빠라기,제주특별자치도 제주시 신광로 45,33.4879855,126.4903506,064-753-2888,064-722-1888,,카페,제주의 오래된 빠빠라기 푸짐하면서 시원한 빙수,4.49,
CONT_000000000501190,내가 찾은 맛고을,제주특별자치도 제주시 진남로8길 39,33.522457,126.56764,064-702-0216,064-702-0216,,한식,제주시 화북일동에 있는 삼계탕 전문 착한가격업소,,
CNTS_200000000007519,바닐라파레트,제주특별자치도 제주시 진군길 56-2,33.4771133,126.4806609,010-9074-7846,010-2492-1106,일11:30 - 18:00,"카페,디저트",노형동에 위치한 감성 카페,4.55,
CNTS_200000000007872,구면카페,제주특별자치도 서귀포시 표선면 중산간동로5220번길 47,33.3988071,126.7063341,070-8800-9009,0507-1449-9014,,"카페,디저트",따라비오름 인근 카페,,
CNTS_000000000022026,제주분식,제주특별자치도 제주시 귀아랑길 23,33.491447,126.49762,064-726-2120,0507-1409-2120,,종합분식,공항에서 5분거리 로컬푸드 분식카페,4.32,
CNTS_000000000022382,커피파인더,제주특별자치도 제주시 서광로32길 20,33.4985811,126.5287567,064-726-2689,064-726-2689,,"카페,디저트","커피파인더는 제주시청 근처 골목길 안쪽에 숨어 있습니다.  
한 잔의 음료 너머의 것들을 찾아 헤매고 있습니다. 
그 여정에서 무엇을 찾고, 나누고, 발전하고, 행복해하는지 지켜봐주세요.",4.55,
CONT_000000000501438,후년하우스,제주특별자치도 제주시 삼봉로 12,33.5203612,126.5876201,064-759-9292,0507-1389-9292,,샤브샤브,직접 기른 채소가 무한리필되는 착한가격업소인 샤브샤브 집,4.2,
CNTS_200000000007138,코끼리통닭,제주특별자치도 제주시 동문로 4,33.5128008,126.5269479,064-752-9026,,,"백숙,삼계탕",동문시장에 위치한 시장통닭,3,
CNTS_200000000014199,블리스풀,제주특별자치도 제주시 애월읍 산록서로 383,33.4050742,126.4073278,064-799-8596,064-799-8596,,애견카페,블리스풀은 잔디밭으로 된 운동장이 있어서 강아지들이 실컷 뛰어놀 수 있는 애견 카페다. ,4.74,
CNTS_000000000021192,촵촵,제주특별자치도 제주시 신설로9길 8-1,33.496986,126.53534,--,0507-1321-6468,일정기휴무 (매주 일요일),돈가스,이름만큼 중독성 있는 수제돈가스 집,4.49,
CNTS_200000000014205,엘파소,제주특별자치도 서귀포시 안덕면 화순로 191-43,33.2459838,126.3260534,,010-5827-5838,,"카페,디저트",엘파소는 텍사스의 엘파소 지역을 모티드로 만든 감성카페이다. 카페 건물이 대부분 노란색으로 되어 있어 이국적인 분위기를 풍긴다. ,4.83,
CONT_000000000501241,몽생이,제주특별자치도 제주시 한경면 녹차분재로 628,33.3246425,126.2605156,064-772-3886,064-772-3886,일정기휴무 (매주 일요일),한식,말고기가 맛있다고 소문이 자자한 곳,,
CNTS_000000000021420,대향연탄구이,제주특별자치도 서귀포시 태평로 407,33.244823,126.563866,064-762-0889,064-762-0889,,한식,주먹밥이 함께 나오는 국수전문점,4.34,
CNTS_200000000012682,청파식당횟집,제주특별자치도 제주시 구좌읍 세평항로 12,33.5244994,126.8536448,064-784-7775,064-784-7775,"일17:00 - 21:00
20:00 라스트오더",생선회,"세화해수욕장 인근의 활고등어회 및 활어회 전문점. 싱싱한 회와 함께 한상 가득 푸짐한 조림, 매운탕 등을 즐길 수 있는 곳이다.",4.7,
CNTS_200000000007528,빨간집,제주특별자치도 제주시 광양13길 7,33.4987626,126.5309037,064-723-1173,064-742-5432,"매일16:00 - 01:30
00:10 라스트오더",한식,"빨간 불닭, 치즈 불닭 등 매운 메뉴들만 판매하는 제주 음식점",4.2,
CONT_000000000501258,복단지식당,제주특별자치도 제주시 한림읍 한림북동길 26,33.4174046,126.2640024,064-753-0079,064-753-0079,,한식,경북 포항에서 공수한 시골된장으로 만드는 된장찌개가 일품인 착한가격업소,,
CNTS_000000000021704,내담,제주특별자치도 서귀포시 예래로 296-1,33.241455,126.38309,064-738-2839,064-739-6167,,"아귀찜,해물찜",하예동 내담 아구찜 대구탕 전문점,4.21,
CNTS_200000000007150,별난카페,제주특별자치도 서귀포시 안덕면 녹차분재로 199,33.3061078,126.288574,064-792-7227,064-792-7227,,카페,지역주민들이 직접 재배한 재료를 이용한 디저트와 음료를 맛볼 수 있는 마을 카페.,,
CNTS_000000000020249,피자아일랜드,제주특별자치도 서귀포시 성산읍 환해장성로 513,33.499622,126.53119,064-784-1991,0507-1444-1991,,피자,성산에 위치한 치즈가 맛있는 피자집,4.32,
CNTS_000000000001284,원당골,제주특별자치도 제주시 원당로 72,33.526814,126.592575,064-725-2525,064-725-2525,"일11:30 - 21:00
14:20 - 17:30 브레이크타임",한식,토종닭과 한방 오리를 즐길 수 있는 원당골,5,
CNTS_200000000008112,팜스테이블,제주특별자치도 제주시 수목원길 41,33.4699581,126.48948,064-711-9234,064-711-9234,,"스테이크,립",티본스테이크와 파스타 그리고 친환경 야채를 활용한 샐러드가 있는 스테이크하우스.,,
CNTS_200000000013790,바움하우스,제주특별자치도 제주시 서해안로 448,33.517659,126.487575,064-743-8857,0507-1384-8857,,"카페,디저트",용담 해안도로의 아름다운 바다뷰를 볼 수 있는 바움쿠헨 디저트 전문점 카페,4.53,
CNTS_200000000009091,한밭식당,제주특별자치도 제주시 추자면 대서3길 21,33.9642903,126.2929862,064-742-1858,064-787-0028,일09:00 - 21:00,"육류,고기요리",추자에서 맛볼 수 있는 녹두 삼계탕 ,3.88,
CNTS_000000000021076,고망딱새,제주특별자치도 제주시 서해안로 96,33.50343,126.4597,064-712-5362,064-712-5362,,카페,이호테우 해변 근처에 있는 작은 카페,4.41,
CNTS_000000000001157,해월향,제주특별자치도 서귀포시 성산읍 고성오조로 33,33.446968,126.914444,064-784-4080,064-784-4080,,돼지고기구이,섭지코지 근처에서 맛보는 제주 흑돼지,4.39,
CNTS_000000000022409,현경식당,제주특별자치도 제주시 동광로1길 32,33.5032944,126.527915,064-757-9707,064-757-9707,,"순대,순댓국",푸짐한 양에 놀라고 깊은 맛에 놀라는 보성시장내 현경 식당.,4.2,
CNTS_000000000020807,갯것이식당,제주특별자치도 제주시 가령로 9,33.5033429,126.53718,064-724-2722,064-724-2722,,"해물,생선요리",이도동 제주경찰서 후문 남쪽에 위치한 성게미역국 전문점입니다.,,
CNTS_200000000008377,겹겹의 의도,제주특별자치도 서귀포시 홍중로27번길 4,33.2639577,126.5507293,064-763-0990 ,064-763-0990,일11:00 - 19:00,베이커리,서귀포 서홍동에 위치한 크루아상 카페. ,4.44,
CNTS_000000000021106,위더스트래블,제주특별자치도 제주시 인다9길 29,33.475548,126.54848,064-722-0823,064-722-0823,"일09:00 - 19:00
18:00 라스트오더",카페,아라동에 위치한 브런치 카페,,
CNTS_000000000021644,마라도별장식당,제주특별자치도 서귀포시 대정읍 마라로101번길 43,33.118282,126.26671,010-3783-5270,010-9947-9531,,중식당,마라도산 톳을 활용한 짜장면 짬뽕 전문점,4.24,
CNTS_200000000007332,감저카페,제주특별자치도 서귀포시 대정읍 대한로 22,33.2533626,126.2490546,064-794-5929,064-794-5929,,카페,옛 고구마전분공장을 리모델링해 만든 카페,,
CNTS_000000000001278,이가전복,제주특별자치도 제주시 무근성길 6,33.517696,126.5191,064-726-2009,064-726-2009,,전복요리,건강한 전복요리를 선보이는 전복요리 전문점,4.27,
CNTS_000000000022454,잔디가미,제주특별자치도 제주시 우도면 우도해안길 912,33.4972931,126.9671356,064-784-3331,0507-1304-4113,,베이커리,대표메뉴는 특허 수제 발효빵,,
CNTS_200000000007619,금보가든,제주특별자치도 제주시 조천읍 비자림로 639,33.4276176,126.6665803,064-782-7158,064-782-7158,"매일10:30 - 18:00
17:00 라스트오더",한정식,산굼부리에서 차로 1분거리인 한정식집,4.35,
CNTS_200000000009312,타임스탬프,제주특별자치도 제주시 조천읍 신북로 92-1 1층,33.5349392,126.6237679,064-805-2220,0507-1404-2228,일10:00 - 20:00,"셀프,대여스튜디오",사진관과 카페가 함께하는 제주 스튜디오 카페,4.52,
CONT_000000000501227,마라톤식당,제주특별자치도 제주시 서광로 174,33.4997233,126.5149932,064-757-1945,064-757-1945,,"백반,가정식",매일 새로운 정식 메뉴를 저렴한 가격에 제공하는 착한가격업소,4.45,
CNTS_200000000013321,낭쿰낭쿰,제주특별자치도 서귀포시 중앙로79번길 4,33.2517365,126.560833,064-901-7944,0507-1328-7944,,한식,"낭쿰낭쿰은 2016년 호텔신라의 레시피 전수와 리모델링 지원을 통해 재개장한 ‘맛있는 제주만들기’ 13호점 식당이다. '낭쿰낭쿰'은 ‘집으로 들어오는 작은 골목길의 큰 나무’라는 뜻의 제주 사투리로, 서귀포 올레시장에서 도보 5분 거리에 위치해 있어 제주 관광객들이 즐겨 찾는다.",4.81,
CNTS_200000000009088,동해루,제주특별자치도 제주시 추자면 추자로 58-1,33.9642903,126.2929862,064-742-3615,064-742-3615,,중식당,추자에서 먹을 수 있는 중식전문점,3.66,
CONT_000000000501281,성광식당,제주특별자치도 서귀포시 일주동로 8184 (신효동),33.260715,126.61311,064-767-4110,064-767-4110,"일10:30 - 18:00
17:45 라스트오더",한식,"잡내가 나지 않고, 질기거나 푸석거리지 않은 식감에 진한 국물맛이 일품인 내장탕, 순대백반 전문점",4.65,
CNTS_000000000022563,영해식당,제주특별자치도 제주시 정든로2길 24-1,33.4966963,126.5393772,064-753-2262,064-794-2262,,한식,"밀면과 몸국, 착한 가격의 숨은 맛집",4.58,
CNTS_200000000014208,카페원웨이,제주특별자치도 제주시 한경면 일주서로 4459-4,33.3626289,126.1929895,064-773-0225,064-773-0225,,"카페,디저트",카페원웨이는 한경면 금등리에 위치해있다. 신창 풍차 해안도로에 인근에 위치한 이곳은 빨간 벽돌이 인상적인 장소다.,4.65,
CNTS_000000000021198,웃뜨르우리돼지,제주특별자치도 제주시 한경면 연명로 2,33.29326,126.23335,064-772-5992,0507-1409-5993,일11:30 - 21:30,돼지고기구이,흑돼지농장을 운영하는 식당,4.33,
CNTS_200000000009120,오누이밥상,제주특별자치도 제주시 추자면 추자로 68,33.9611914,126.2945874,010-7129-5479,010-7129-5479,,한식,"밑반찬이 10가지가 넘는 밥상
*매주 금요일 정기휴일",4.17,
CNTS_000000000022151,탭하우스더코너,제주특별자치도 제주시 도령로 27,33.4877957,126.4818957,064-744-2007,064-744-2007,,"맥주,호프","더핸드앤몰트브루어리, 맥파이브루어리, 제주지앵 3가지 양조장의 수제맥주를 모두 맛 볼 수 있는 특별한 곳",4.51,
CNTS_000000000022237,유나카페,서귀포시 남원읍 공천포로 81,33.266018,126.64182,064-732-6969,0507-1339-6969,일11:00 - 18:00,카페,"공천포 검은모래 앞에 위치한 카페, 영화 '좋은날' 촬영지",4.41,
CNTS_200000000014298,본카페,제주특별자치도 제주시 애월읍 애월해안로 179,33.4677624,126.3320282,064-799-5789,010-4123-8004,,카페,본카페는 바다를 보며 커피 한잔하고 여유를 즐길 수 있는 카페다.,4.57,
CNTS_000000000021051,만선바다,제주특별자치도 제주시 삼무로1길 6,33.490963,126.489334,064-742-6300,064-742-6300,일11:30 - 22:00,생선회,제주시내에서 고등어요리를 즐기는 만선식당,4.52,
CNTS_000000000022190,봉주르마담,제주특별자치도 서귀포시 대청로 33,33.2474456,126.5056302,064-739-2900,0507-1440-2900,,베이커리,서귀포 대청로 깔끔한 아파트 단지 상가에 위치하고 있으며 아담한 크기의 시식이 가능한 제과점,4.49,
CONT_000000000501264,산내들식당,제주특별자치도 제주시 서광로4길 16,33.4986386,126.5140831,064-702-0885,064-738-1129,,한식,밑반찬 무한리필 서비스를 제공하는 착한가격업소,3.42,
CNTS_200000000013326,차이나마씸,제주특별자치도 서귀포시 칠십리로 474,33.2412819,126.6014941,064-732-7155,064-732-7155,일10:30 - 18:30,중식당,"차이나마씸은 2017년 호텔신라의 레시피 전수와 리모델링 지원을 통해 재개장한 ‘맛있는 제주만들기’ 19호점 식당이다. 호텔신라 셰프들은 주변 상권 조사에서 선호도가 가장 높았던 해물짬뽕과 전복짜장, 멘보샤를 새로운 메뉴로 선정했고, 이 세 요리는 수년이 지난 지금까지 차이나마씸의 대표 메뉴로 확고한 자리매김을 하고 있다.",,
CNTS_000000000021087,마레벤또,제주특별자치도 제주시 애월읍 애월로1길 10,33.46261,126.31173,010-2824-8452,0507-1354-8452,"일10:00 - 21:00
20:30 라스트오더",이탈리아음식,애월 바다 앞에서 파스타 한 접시,4.56,
CNTS_200000000007515,차마실,제주특별자치도 제주시 애월읍 하귀동남1길 32-15,33.4831051,126.4150235,064-712-7714,064-712-7714,일09:30 - 23:00,차,제주시 애월읍에서 직접 만든 차와 다과를 판매하는 전통찻집,,
CNTS_000000000021020,아따블르,제주특별자치도 제주시 조천읍 북촌11길 15-16,33.54993,126.69455,064-783-1048,064-783-1048,,프랑스음식,제주바다의 신선함이 더해진 부이야베스,,
CONT_000000000501340,인풍감자탕,제주특별자치도 제주시 만덕로 36,33.51346,126.53186,064-758-8414,064-758-8414,,"찌개,전골","제주시 건입동에 위치한 감자탕,해장국을 전문으로 하는 착한가격업소",4.05,
CNTS_000000000022802,올레삼다정,제주특별자치도 서귀포시 태평로537번길 48,33.25308,126.56996,--,0507-1406-7230,"일11:00 - 21:00
15:00 - 17:00 브레이크타임
20:00 라스트오더",향토음식,서귀포에 위치한 헤신믈요리 전문점,4.65,
CNTS_200000000013323,제주콩순옥,제주특별자치도 서귀포시 대정읍 신영로 129-2,33.2234062,126.2549022,064-792-8585,064-792-8585,,한식,"제주콩순옥은 2016년 호텔신라의 레시피 전수와 리모델링 지원을 통해 재개장한 ‘맛있는 제주만들기’ 16호점 식당이다. 모슬포항에서 차로 3분 거리에 위치해 있고, 순두부찌개, 두부전골 등을 주요 메뉴로 한다.",4.31,
CNTS_200000000014197,백수당,제주특별자치도 제주시 구좌읍 월정1길 63,33.5565256,126.7936052,0507-1371-9389,0507-1371-9389,"일11:00 - 18:00
17:30 라스트오더","카페,디저트",백수당은 ‘백수들의 천국’이라는 의미로 월정리에 위치하여 돌담과 한옥의 분위기가 제주다움을 보여준다. ,4.81,
CNTS_000000000021186,보말이야기,제주특별자치도 제주시 한림읍 비양도길 14-3,33.406,126.22901,064-796-8422,064-796-8422,,한식,옛모습을 잘 간직한 보말요리 전문음식점.,,
CNTS_200000000007508,두루두루,제주특별자치도 제주시 삼무로3길 14,33.4904731,126.4945135,064-744-9711,064-744-9711,,"해물,생선요리",제주도민들에게 사랑 받는 객주리조림 식당,4.3,
CNTS_000000000019423,두가시영,제주특별자치도 서귀포시 표선면 하천달산로9번길 98,33.3374683,126.8423582,064-787-2367,064-787-2367,일정기휴무 (매주 일요일),한식,두가시는 제주도 사투리로 부부라는 뜻. 그만큼 화목하고 편안한 분위기에서 고객을 모시는 식당.,4.74,
CNTS_200000000007118,어애랑,제주특별자치도 제주시 한림읍 한림로 422 (협재리) 어애랑,33.3989779,126.2469258,064-796-9253,064-796-9253,"일08:00 - 20:00
19:30 라스트오더","해물,생선요리","전복갈치조림/갈치조림 전문점. 활전복해물뚝배기,생선구이,성게미역국 등 제주를 느낄 수 있는 든든한 메뉴",4.39,
CNTS_200000000008033,낭만주의,제주특별자치도 제주시 내도1길 18-1,33.4955266,126.4376599,010-9911-3200,010-9911-3200,,"카페,디저트",알작지 토스트와 라떼가 맛있는 내도동 알작지 해변 앞 카페 ,4.03,
CNTS_200000000008375,용이식당,제주특별자치도 서귀포시 천지로 40,33.250978,126.5604194,064-732-7892,064-732-7892,,한정식,"서귀포에 위치한 푸짐한 양의 두루치기  전문점.
",4.17,
CNTS_200000000008131,더 코브,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38 제주신화월드 메리어트 리조트관 GF,33.3017501,126.3206458,064-908-1247,064-908-1247,일정기휴무 (매주 일요일),카페,제주신화월드 내에 위치한 합리적인 가격으로 즐기는 호텔 베이커리,4.48,
CONT_000000000501400,파시랑,제주특별자치도 서귀포시 솔동산로 15 (서귀동),33.243404,126.56422,064-733-8125,064-733-8125,일11:00 - 20:00,"카페,디저트",국내산 팥을 가마솥에 직접 삶아낸 팥빙수&단팥죽 전문점,4.55,
CONT_000000000501150,1080칼국수,제주특별자치도 제주시 서광로13길 3,33.5003337,126.517785,064-759-1089,064-759-1089,,"칼국수,만두",착한가격업소(농가와 직접거래하여 저렴한 가격에 음식 제공),4.35,
CNTS_000000000022143,커피림,제주특별자치도 제주시 수목원길 27,33.469433,126.4882,064-749-3311,010-8200-1261,"일10:30 - 20:00
19:30 라스트오더","카페,디저트",커피림은 한라수목원 입구에 위치 한 카페입니다.,4.53,
CONT_000000000501337,이게밥도둑,제주특별자치도 제주시 삼무로7길 23,33.491617,126.4936071,070-7553-2171,0507-1301-6321,,게요리,블루베리를비롯 6가지 과일로 숙성시킨 달콤한 간장게장 전문점,4.39,
CNTS_000000000022206,미복빈대떡,제주시 신대로16길 49,33.486736,126.49128,064-746-2002,064-746-2002,,한식,음식이 보약이다'라는 음식 이념을 추구하는 미복,3.73,
CNTS_200000000007609,숨비나리,제주특별자치도 서귀포시 안덕면 중산간서로1615번길 8,33.2822845,126.3483636,064-792-3455,0507-1401-3455,,"해물,생선요리",산방산과 바다 전망을 보며 맛보는 제주 음식,4.12,
CNTS_200000000014083,바코,제주특별자치도 제주시 조천읍 선진길 83,33.4585034,126.7108673,064-782-6668,064-782-6668,"일12:00 - 23:00
15:00 - 17:30 브레이크타임
22:00 라스트오더",와인,차분하고 우아한 바코,4.49,
CNTS_200000000007629,제주침시술소바,제주특별자치도 제주시 동광로 12,33.5010889,126.530548,,0507-1439-1378,,"우동,소바",직접 개발한 한국형 소바육수로 요리하는 소바 전문점,4.73,
CNTS_200000000009573,호도제과,제주특별자치도 서귀포시 이어도로 923-1 호도제과,33.2378827,126.513256,064-738-0010,0507-1477-0047,일10:00 - 19:00,베이커리,"서귀포 법환동에 위치한 호도제과
유기농 밀과 좋은 재료를 고집하고 유화제와 개량제를 일체 사용하지 않으며, 오로지 시간이 만들어주는 건강한 빵을 당일 생산 당일 판매한다.",4.49,
CNTS_000000000020972,마실디,제주특별자치도 서귀포시 중정로73번길 16,33.24957,126.56415,010-8237-2114,0507-1343-2114,,"과일,주스전문점",제주의 특산품 천혜향 주스 맛보며 쇼핑은 덤,4.39,
CNTS_000000000022521,커피로카,제주특별자치도 제주시 고마로 86,33.5066094,126.5404817,064-723-0800,064-723-0800,,카페,치즈빙수가 맛있는 제주시카페,4.42,
CNTS_000000000021047,커피코알라,제주특별자치도 제주시 과원북4길 71,33.48121,126.48916,064-773-7004,064-773-7004,,카페,"나만의 커피의 맛을 찾아서, 커피코알라",4.58,
CNTS_000000000021535,석다원,제주특별자치도 제주시 구좌읍 해맞이해안로 1752,33.5271,126.8892,-3113,064-784-2329,,"칼국수,만두",해녀가 운영하는 싱싱한 식당 ‘석다원’,4.19,
CNTS_000000000021535,석다원,제주특별자치도 제주시 구좌읍 해맞이해안로 1752,33.5271,126.8892,-3113,064-784-2329,,"칼국수,만두",해녀가 운영하는 싱싱한 식당 ‘석다원’,4.19,
CNTS_200000000008378,베이크샵스니프,제주특별자치도 서귀포시 신서귀로 32,33.2517399,126.5111166,070-8845-0727,064-794-0727,,베이커리,서귀포에 위치한 시나몬롤 전문 베이커리숍.,4.64,
CONT_000000000501277,서문뒷고기,제주특별자치도 제주시 중앙로14길 40-2,33.5107686,126.5204355,064-757-5733,064-757-5733,매일17:00 - 22:00,돼지고기구이,"흑돼지 오겹살과 뒷고기, 두루치기가 맛있는 곳",4.52,
CNTS_000000000001261,빅토리아,제주특별자치도 제주시 서해안로 268,33.5092872,126.4742764,064-743-7366,,,"카페,디저트",용담해안도로에 위치한 하얀 목조 건물의 분위기가 좋은 레스토랑,4.4,
CNTS_200000000008376,시스터필드,제주특별자치도 서귀포시 월드컵로 8,33.2490312,126.5074027,064-739-2225,064-739-2225,매일09:00 - 18:00,베이커리,유기농 재료들을 사용하는 서귀포 빵집. ,4.46,
CNTS_200000000013594,우뭇개일번지,제주특별자치도 서귀포시 성산읍 일출로 288,33.4631283,126.9352404,,064-784-3456,매일06:00 - 15:00,한식,부담없는 가격으로 맛있는 한식메뉴를 먹을 수 있는 식당,4.48,
CNTS_000000000021488,쫑이네밥집,제주특별자치도 서귀포시 성산읍 환해장성로 549,33.40525,126.903854,064-782-5880,064-782-5880,,한식,섭지코지와 가까운 제주의 바다 향을 담은 식당,4.65,
CNTS_200000000010714,안녕구움,제주특별자치도 제주시 한경면 고산로 49 1층,33.3053522,126.1791699,064-901-4987,064-901-4987,,"카페,디저트",제주서쪽 한경면 고산리 작은 디저트가게 안녕구움,4.66,
