ID,TITLE,ADDRESS,LAT,LON,TEL,TEL,OPEN_TIME,CATEGORY,DESCRIPTION,STORE_OF_NAVER,IMG_LINK
CONT_000000000501342,일출왕뚝배기,제주특별자치도 서귀포시 성산읍 일출로 247,33.4606915,126.9325508,064-784-1190,064-784-1190,매일07:00 - 20:00,"해물,생선요리","성산일출봉 근처 싱싱한 해산물이 특별한 맛집,뚝배기 전문점",3.67,
CNTS_200000000007221,서홍정원,제주 서귀포시 솜반천로55번길 12-8,33.2532373,126.5553129,064-762-5858,064-762-5858,,"카페,디저트",솜반천 인근에 위치한  디저트 카페.,4.48,
CONT_000000000501275,생원전복,제주특별자치도 서귀포시 안덕면 산방로 7,33.245869,126.3307927,064-792-2109,064-792-2109,,전복요리,해녀출신의 양가 어머니로부터 전수받은 전복요리의 진수,4.42,
CNTS_000000000001097,대기정,제주특별자치도 서귀포시 이어도로 41,33.24031,126.428665,064-739-1041,0507-1403-1041,,한식,취향에 따라 고르는 제주 음식,4.54,
CNTS_000000000022895,덕승식당,제주특별자치도 서귀포시 대정읍 최남단해안로30번길 4,33.499622,126.53119,-3313,064-794-0177,"일10:00 - 20:40
15:30 - 16:30 브레이크타임",한식,전용 배를 가지고 저렴한 가격에 신선한 요리를 선보이는 해산물 전문 식당. 인기에 힘입어 기존 가게 근처에 새로 개장한 두 번째 덕승식당이다. 점심과 저녁 고루 인기가 좋다.,4.32,
CNTS_200000000008044,아줄레주,제주특별자치도 서귀포시 성산읍 신풍하동로19번길 59,33.366762,126.8391336,010-2542-7278,0507-1411-4052,,"카페,디저트","에그타르트로 유명한 유럽풍의 카페
",4.57,
CNTS_200000000014202,식전당포,제주특별자치도 제주시 광양14길 17-1,33.4975615,126.5292883,,010-7592-7007,,"전,빈대떡",식전당포는 제주 시청 인근에 위치한 전집이다.,4.54,
CNTS_000000000001504,제주정,제주특별자치도 제주시 일주동로 320,33.521053,126.57905,064-721-2228,064-721-2228,일10:00 - 21:30,한식,영양만점 한식이 가득한 제주정,4.33,
CNTS_000000000021281,동북왕,제주특별자치도 제주시 사장1길 43,33.48512,126.49115,064-747-3999,064-747-3999,,중식당,"전통 중국요리를 찾아서, 동북왕",,
CNTS_200000000014268,이너프,제주특별자치도 제주시 애월읍 고성8길 33,33.4561242,126.4186832,0507-1495-0012,0507-1495-0012,"매일11:00 - 18:00
17:30 라스트오더","카페,디저트",이너프는 ‘It is good enough for today.’의 의미로 만든 가게다. ,4.37,
CNTS_000000000022381,명성식당,제주특별자치도 제주시 삼성로 94,33.508854,126.53518,064-755-6664,064-755-6664,일09:30 - 20:00,한식,삼성혈에 위치한 제주 향토 정식식당,4.45,
CNTS_200000000007649,착한집,제주특별자치도 제주시 서광로 98,33.4999552,126.5070561,064-713-7136,064-713-7136,,한정식,제주시 오라동에 위치한 한정식전문점인 착한집은 신선한 재료들을 사용하여 만든 다양하고 정갈한 음식들이 준비되어 있다.,4.31,
CNTS_200000000009011,허니문하우스,제주특별자치도 서귀포시 칠십리로 228-13,33.2844099,126.5796743,070-4277-9922,070-4277-9922,,"카페,디저트",유럽풍 건축물과 파노라마로 펼쳐지는 바다 경관을 보며 즐기는 베이커리 카페,4.45,
CNTS_000000000021200,소반,제주특별자치도 서귀포시 중동로 23,33.251976,126.566154,064-732-2528,064-732-2528,,한식,여행지에서 맛보는 집 밥,4.59,
CNTS_200000000008311,타무라,제주특별자치도 제주시 조천읍 중산간동로 670,33.4988637,126.6569134,064-783-9460,0507-1302-9460,,태국음식,조천에 있는 태국 요리 전문점. ,4.46,
CONT_000000000501325,오르막가든,제주특별자치도 서귀포시 대포중앙로 12,33.250298,126.43307,064-738-7755,0507-1337-7756,,돼지고기구이,중문관광단지 근처에 위치한 제주산 친환경 무항생제 흑돼지만을 제공하며 놀이방 구비된 모범음식점,4.45,
CNTS_200000000014310,카이터스,제주특별자치도 제주시 매촌4길 3,33.5162617,126.5914916,064-702-2032,064-702-2032,,애견카페,카이터스는 삼화지구 인근에 위치한 카페 앤 펍이다.,4.96,
CNTS_200000000009109,귀빈식당,제주특별자치도 제주시 추자면 추자로 14-3,33.9642903,126.2929862,064-742-4900,064-742-4900,,한식,1인 식사가능한 저렴한 굴비정식 ,,
CNTS_200000000009103,플로렌스,제주특별자치도 제주시 추자면 추자로 30-2,33.9642903,126.2929862,010-2435-6809,010-2435-6809,,"카페,디저트",추자바다가 보이는 가성비 최고 카페,,
CNTS_200000000008313,카페2085,제주특별자치도 제주시 조천읍 선교로 185,33.4727191,126.7061921,010-4228-1729,0507-1381-1729,,브런치,통유리 건물이 예쁜 감성카페. ,,
CNTS_200000000013322,제주돔베막국수,제주특별자치도 제주시 한경면 고산로 35,33.3041465,126.1794537,064-773-2147,064-773-2147,,막국수,제주돔베막국수는 2016년 호텔신라의 레시피 전수와 리모델링 지원을 통해 재개장한 ‘맛있는 제주만들기’ 14호점 식당이다. ,4.52,
CNTS_200000000010857,면사무소,제주특별자치도 제주시 애월읍 애월해안로 494,33.4783818,126.3570074,010-2450-1402,0507-1332-1402,,"칼국수,만두",맛보장. 뷰보장. 쉼보장 - 원없이 힐링할 수 있는 제주칼국수맛집 면사무소입니다. ,4.5,
CNTS_200000000009124,보라네,제주특별자치도 제주시 추자면 추자로 96,33.9567036,126.2969646,064-744-4305,064-744-4305,,한식,추자도산 재료로 만드는 보라네정식,,
CNTS_200000000008078,모노클제주,제주특별자치도 서귀포시 남원읍 태위로360번길 30-8,33.2709058,126.6584811,070-7576-0360,0507-1314-0360,,카페,남원읍 제주동백수목원 가까이에 있는 감성 카페,4.55,
CNTS_000000000022235,마님순대,제주시 정존15길 42,33.48822,126.476204,064-713-5657,064-747-5657,,"순대,순댓국",푸짐한 양을 자랑하는 순대따로국밥이 유명한 집,4.36,
CNTS_200000000008355,오캄,제주특별자치도 제주시 정실3길 118,33.4715014,126.5094968,064-748-3118,064-748-3118,일10:00 - 18:00,베이커리,건강한 재료로 만드는 유기농 제주빵집.,,
CONT_000000000501430,홍도니,제주특별자치도 제주시 연북로 187,33.4479443,126.5134221,064-752-1294,064-752-1294,,돼지고기구이,주문과 동시에 터이블 앞에서 저울로 직접 중량 확인 해주는 믿을 수 있는 착한식당,3.7,
CNTS_000000000001077,서귀포갈비,제주특별자치도 서귀포시 동홍로 42,33.252373,126.56801,-8311,064-762-2323,,"육류,고기요리",도민이 찾는 갈비집,4.23,
CNTS_200000000009115,청정고을식당,제주특별자치도 제주시 추자면 대서1길 6,33.9642903,126.2929862,010-3694-3789,010-3694-3789,,"해물,생선요리",추자대표 특산물 굴비백반 음식점,,
CNTS_200000000013314,메로식당,제주특별자치도 서귀포시 중정로91번길 16,33.2496808,126.5654346,064-762-7899,064-757-1411,일정기휴무 (매주 일요일),"해물,생선요리","2014년 호텔신라의 레시피 전수와 리모델링 지원을 통해 재개장한 ‘맛있는 제주만들기’ 3호점 식당, 메로구이, 메로탕면, 메로조림 등 식당에서 선보이는 5가지 메뉴들은 모두 메로로 승부수를 건다.",4.61,
CNTS_000000000021122,컴플리트커피,제주특별자치도 제주시 국기로4길 1,33.47824,126.49136,070-4129-0315,064-805-3150,,"카페,디저트",인테리어와 함께 특색 있는 메뉴가 매력적인 카페,,
CNTS_200000000007155,씨리얼,제주특별자치도 제주시 한림읍 명랑로 26,33.4143016,126.267488,064-796-5550,064-796-5550,"매일09:30 - 16:00
15:30 라스트오더",브런치,한림에서 만나는 런던 감성 브런치 카페,4.56,
CNTS_000000000022290,라쁠라주,제주특별자치도 제주시 서해안로 518,33.5198301,126.4944679,064-712-0978,0507-1403-0978,,햄버거,정통 프랑스 방식으로 만든 수제 디저트와 브런치를 함께 즐길수 있는 카페,4.29,
CNTS_000000000022265,꽃향유,제주시 애월읍 고하상로 101,33.4569306,126.3475934,064-799-1500,0507-1420-1502,,"카페,디저트",꽃향유' 제주를 담다 카페와 아트샵이 공존하는 공간,4.65,
CNTS_000000000021059,어머니빵집,제주특별자치도 제주시 도령로 103,33.491585,126.488625,064-752-1281,0507-1306-1281,일07:00 - 22:00,베이커리,엄마의 마음으로 만드는 건강한 빵,4.36,
CNTS_200000000007756,함덕찜,제주특별자치도 제주시 조천읍 함덕로 20,33.5416773,126.6728881,064-782-1981,064-782-1981,,"육류,고기요리","함덕해수욕장 근처 찜 요리 전문점. 소갈비, 활전복, 한치 그리고 딱새우가 들어가 있는 함덕갈찜이 대표적이다.",4.55,
CONT_000000000501158,감나무집,제주특별자치도 제주시 오남로 12,33.4941877,126.5195932,064-722-8292,064-722-8292,일10:30 - 22:00,한식,모든 재료를 자체 농장에서 직접 조달해 만든 신선한 음식을 저렴한 가격에 제공하는 착한가게업소,4.38,
CONT_000000000501263,사방팔방,제주특별자치도 제주시 우정로10길 12,33.4888877,126.4296093,064-743-4080,064-743-4080,,생선회,"싱싱한 고등어회, 삼치회, 제철회와 푸짐한 밑반찬이 있는 곳",4.38,
CNTS_200000000007673,창흥식당,제주특별자치도 제주시 조천읍 함덕16길 15,33.540309,126.667206,064-783-8508,0507-1356-8508,,한식,함덕해수욕장 근처 제주 가정식 전문점,4.43,
CONT_000000000501225,마돈,제주특별자치도 서귀포시 성산읍 섭지코지로 56,33.4375266,126.9218868,064-784-5379,0507-1336-5379,,"육류,고기요리","성산 흑돼지, 말고기 전문점 마돈입니다.",4.24,
CONT_000000000501404,하나로국밥,제주특별자치도 서귀포시 천제연로 222-2,33.2513188,126.4282136,064-738-4514,064-758-2292,,"순대,순댓국",중문동에 위치한 진하고 칼칼한 국밥을 저렴한 가격에 제공하는 국밥집,3.9,
CONT_000000000501344,자리돔횟집,제주특별자치도 서귀포시 동홍동로 7,33.25554,126.57477,064-733-1239,064-733-1239,"일11:00 - 21:30
14:00 - 16:00 브레이크타임
20:30 라스트오더",생선회,"자리물회, 고등어회 전문점",4.61,
CNTS_200000000014239,흑돼지BBQ,제주특별자치도 서귀포시 태평로353번길 7,33.2468281,126.5597385,064-762-1277,0507-1423-1277,,"육류,고기요리",흑돼지BBQ는 올레시장 근처에 위치하여 기본에 충실하면서 최고의 맛을 선사한다고 자부하는 곳이다.,4.65,
CNTS_200000000014209,찰리아저씨맛집,제주특별자치도 제주시 한경면 용고로 118-2,33.3031554,126.1774634,064-773-0145,064-773-0145,,국수,찰리아저씨맛집은 한경면 고산리에 위치해있다. 마스코트 멍멍이가 반겨주는 이곳은 가게 이름처럼 찰리아저씨 혼자 운영하고 있다.,4.4,
CNTS_000000000021196,오복떡집,제주특별자치도 제주시 동문로2길 10,33.512304,126.5267163,064-753-4641,064-753-4641,,떡카페,제주도를 방문한다면 한 번쯤!,4.31,
CNTS_000000000022406,누룽지식당,제주특별자치도 제주시 고산동산6길 15-1,33.4942197,126.5320533,064-724-6665,064-724-6665,일정기휴무 (매주 일요일),한식,세무서사거리 인근에 자리 잡은 고등어조림 전문 한식당,4.32,
CNTS_200000000007456,오르미,제주특별자치도 제주시 서회천길 33,33.4647845,126.6329231,,010-9595-2138,,"카페,디저트",카페 오르미는 여행객들이 자주 찾지 않는 마을에 있어서 조금 낯설 수 있다. 내비게이션에 서회천 복지회관을 입력하자. 카페 오르미는 서회천 복지회관 맞은편에 있다. 오름을 컨셉으로 한 카페답게 매장 내부에는 한쪽 면에 크게 자리한 오름 분포지도가 있다.,,
CNTS_200000000012584,메종드쁘티푸르,제주특별자치도 제주시 신설로7길 3,33.492584,126.5428767,064-702-0919,064-702-0919,매일07:00 - 22:00,베이커리,제주시 아라동에 위치한 메종드뿌띠푸르는 제주에 많은 체인점을 가지고 있으며 다양한 빵과 케이크를 만나볼 수 있는 베이커리 전문점이다.,4.33,
CONT_000000000501200,대포횟집,제주특별자치도 서귀포시 대포로 169 (대포동),33.239067,126.43923,064-738-1380,064-738-1380,,생선회,1985년부터 30년에 걸쳐 그 자리를 지켜온 제주 토박이 횟집,4.42,
CNTS_000000000022422,커피앤빵,제주특별자치도 제주시 추자면 추자로 58-1,33.96188,126.29397,064-743-8589,064-743-8589,,"카페,디저트",상추자도에 위치한 브레드 카페,4.15,
CONT_000000000501187,나무카페,제주특별자치도 제주시 조천읍 선교로 560,33.45616,126.7105,064-783-0002,064-783-0002,,카페,"거문오름 부근 통나무로 지은 카페로 커피, 여행자 식사 등을 판매",4.6,
CNTS_200000000008073,안트레,제주특별자치도 제주시 애월읍 애월로 11,33.4600513,126.3113009,,0507-1325-0088,,펜션,"앤티크하고 빈티지한 분위기의 한담 해안 산책로 인근 카페 
",,
CNTS_200000000009732,미나리,제주특별자치도 제주시 삼무로11길 34,33.4905415,126.4957637,064-744-3625,0507-1368-3625,일정기휴무 (매주 일요일),한식,"신제주권에 위치, 제주의 신선한 돼지를 사용한 두루치기 맛집!",4.31,
CNTS_000000000001285,돈풍년,제주특별자치도 제주시 승천로 52,33.492493,126.54009,064-713-5252,064-713-5252,"매일11:00 - 22:00
15:00 - 17:00 브레이크타임",돼지고기구이,제주산 흑돼지와 한우가 있는 쾌적한 식사 공간,4.36,
CNTS_000000000001275,명물,제주특별자치도 제주시 탑동로11길 2-1,33.5166654,126.517019,064-723-5233,064-723-5233,매일09:00 - 21:00,"해물,생선요리",풍성한 밑반찬과 함께 즐기는 다양한 생선요리,4.35,
CONT_000000000501437,황금어장,제주특별자치도 서귀포시 중앙로48번길 14,33.2490795,126.5631739,064-738-4418,064-748-8989,"일09:00 - 21:00
20:00 라스트오더",한식,서귀포에 위치한 자연산 전문 포장횟집,4.29,
CNTS_200000000014212,제주기와,제주특별자치도 제주시 애월읍 광령남4길 45-1,33.3701721,126.4819697,0507-1362-7515,0507-1362-7515,,"카페,디저트",제주기와는 애월읍 광령리에 위치한 카페로 이름처럼 기와로 만들어진 장소다.,4.84,
CNTS_200000000007261,비자블라썸,제주특별자치도 제주시 구좌읍 비자림로 2244,33.5312449,126.8506911,010-4449-3885,0507-1341-3885,,브런치,비자림 근처에 위치한 브런치 카페,4.6,
CNTS_200000000007135,세러데이아일랜드,제주특별자치도 제주시 구좌읍 평대7길 51,33.5277017,126.8392989,,,일(2/5)휴무,카페,평대리 마을 안 숨어있는 이탈리안 레스토랑,4.54,
CNTS_200000000007117,돌코롬봉봉,제주특별자치도 서귀포시 표선면 민속해안로 35,33.3255768,126.7999334,,,,카페,입안에 가득 차는 달콤함,4,
CNTS_200000000007203,송당나무,제주특별자치도 제주시 구좌읍 송당5길 68-140,33.4764906,126.7882841,010-9364-2819,010-9364-2819,매일10:00 - 18:00,플라워카페,비자림 인근에 위치한 송당나무는 넓은 정원과  꽃을  감상할 수 있는 가드닝  카페이다.,4.3,
CNTS_200000000014111,다소니,제주특별자치도 제주시 오남로6길 24,33.490672,126.5177399,064-752-5533,064-752-5533,"일11:00 - 21:00
15:00 - 17:00 브레이크타임
20:00 라스트오더",차,정갈하고 풍성하게 즐기다,4.5,
CNTS_200000000014230,플라이오조,제주특별자치도 서귀포시 성산읍 오조로85번길 44,33.4612581,126.9109211,0507-1382-2454,0507-1382-2454,,"카페,디저트",플라이오조는 성산 오조리에 위치해있다.,4.63,
CNTS_000000000020814,제주서문수산,제주특별자치도 제주시 서문로4길 13-2,33.511383,126.517975,064-722-3021,064-722-3021,매일17:00 - 22:00,한식,배가 터지도록 줄줄이 나오는 생선요리 코스를 맛보고싶다면,4.19,
CNTS_200000000014210,제주오누이,제주특별자치도 제주시 구좌읍 해맞이해안로 972,33.5425587,126.8281341,064-782-6801,064-782-6801,,전복요리,제주오누이는 월정리에 위치하여 내부가 통창으로 되어 있어 아름다운 제주 바다를 보며 맛있는 음식을 즐길 수 있는 곳이다.,4.41,
CNTS_200000000007488,앙카페,제주특별자치도 서귀포시 대정읍 하모항구로 75,33.2202431,126.2515369,010-9984-5871,010-9984-5871,매일10:00 - 22:00,"카페,디저트",모슬포 방어축제의 거리 입구에 위치한 카페&바,4.38,
CONT_000000000501267,산방식당,제주특별자치도 서귀포시 대정읍 하모이삼로 62,33.223396,126.2543,064-794-2165,064-794-2165,일11:00 - 18:00,한식,"제주식 밀면과 수육 모두 맛있기로 소문난 곳, 2016 KOREAT JEJU TOP10 선정",4.3,
CNTS_000000000018924,봉봉커피,제주특별자치도 제주시 우도면 우도해안길 630,33.523594,126.95492,064-782-3367,010-4671-0030,,"카페,디저트",인어공주 촬영지가 가까운 커피 전문점,4.4,
CNTS_000000000020965,와토커피,제주특별자치도 서귀포시 대정읍 동일하모로 238,33.2254,126.25662,010-8324-1455,0507-1407-1452,일정기휴무 (매주 일요일),"카페,디저트",고요하고 따뜻한 마을 대정읍에 맛있는 커피 향이 폴폴 나는 로스터리 카페,4.53,
CNTS_000000000021498,데미안,제주특별자치도 제주시 한경면 고조로 492-15,33.32901,126.221903,070-8817-8555,0507-1401-0552,,돈가스,수제 흑돼지 돈까스가 무한리필,4.74,
CNTS_000000000020477,신산리마을카페,제주특별자치도 서귀포시 성산읍 환해장성로 33,33.37661,126.876945,064-784-4333,064-784-4333,매일10:00 - 17:00,"카페,디저트",돌고래가 뛰노는 바다가 보이는 신산리의 작은 카페,4.44,
CNTS_000000000020430,덕승식당,제주특별자치도 서귀포시 대정읍 하모항구로 66,33.2192451,126.2513444,064-794-0177,064-794-0177,"일10:00 - 20:40
15:30 - 16:30 브레이크타임",한식,"생선요리가 맛있는 식당, 2016 KOREAT TOP10 선정",4.32,
CNTS_000000000020785,빌레왓,제주특별자치도 서귀포시 안덕면 화순서동로 14,33.2525074,126.3351056,064-794-3939,0507-1366-3939,,"스파게티,파스타전문",산방산 버거가 유명한 맛집,4.36,
CNTS_000000000020043,허벅식당,제주특별자치도 제주시 구좌읍 세평항로 26,33.5255713,126.8544176,064-782-0799,0507-1415-0799,,향토음식,"푸른 제주 바다도 보고, 맛있는 제주 향토 음식도 먹고",4.52,
CONT_000000000501216,돌하르방식당,제주특별자치도 제주시 한림읍 한림로 300,33.3879944,126.2397837,064-796-0001,064-752-7580,,한식,제주의 담백한 전통음식,4.38,
CNTS_000000000020864,말이,제주특별자치도 제주시 구좌읍 세화1길 40,33.52665,126.85567,010-7146-4567,0507-1438-4567,,종합분식,구좌읍 세화리에 위치한 분식집,,
CONT_000000000501156,가시식당,제주특별자치도 서귀포시 표선면 가시로 565번길 24,33.353035,126.77152,064-787-1035,064-787-1035,,돼지고기구이,한라산 중산간 가시리에서 40년 동안 자리를 지켜온 순댓국 전문점이다. 순댓국과 두루치기가 단연 인기메뉴이다. 2016 KOREAT JEJU TOP10 선정,4.35,
CNTS_000000000020330,아라파파,제주특별자치도 제주시 국기로3길 2,33.4784467,126.4909905,064-725-8204,064-725-8204,매일08:00 - 22:00,베이커리,연동에 위치한 제주3대빵집 중 하나,4.38,
CNTS_000000000001036,쌍둥이횟집본점,제주특별자치도 서귀포시 중정로62번길 14,33.24659,126.562996,064-762-0478,064-762-0478,,생선회,저렴하고 푸짐하고 맛있는 횟집,4.19,
CNTS_000000000020742,벨롱,제주특별자치도 제주시 구좌읍 해맞이해안로 1652,33.528336,126.87951,070-8242-1899,0507-1300-1899,,라이브카페,반짝반짝한 제주의 자연 아래 복합문화공간,4.77,
CNTS_000000000001054,서귀포흑돈,제주특별자치도 서귀포시 칠십리로 278,33.24794,126.582184,064-767-9718,0507-1403-9718,,"육류,고기요리",쫀득한 흑돼지 생고기집,,
CNTS_000000000020860,해담은,제주특별자치도 제주시 남광북1길 41,33.49663,126.53759,064-755-2775,064-755-2775,,한식,제주시 이도동에 위치한 횟집,3.77,
CNTS_000000000018355,황금손가락,제주특별자치도 제주시 구남동1길 44,33.49308,126.54125,064-746-8281,064-746-8281,,일식당,구남동에 위치한 초밥 정식 전문점. 황금손가락 대게튀김이 인기좋다.,4.32,
CNTS_000000000020853,맛나식당,제주특별자치도 서귀포시 성산읍 동류암로 43,33.44859,126.91591,064-782-4771,064-782-4771,,한식,갈치조림이 유명한 성산일출봉 근처 맛집,4.46,
CNTS_000000000018331,로뎀가든,제주특별자치도 제주시 우도면 우도해안길 264,33.50358,126.94283,064-782-5501,064-782-5501,,한식,우도로뎀펜션과 같이 하는 음식점 1층에 위치한 로뎀가든,4.74,
CNTS_000000000001186,국수앤,제주특별자치도 서귀포시 표선면 표선당포로 19-3,33.32623,126.844284,064-787-5630,0507-1317-5630,,국수,지역주민들이 많이 찾는 백사장횟집,4.5,
CNTS_000000000020471,카이로스,제주특별자치도 제주시 애월읍 장유길 49-39,33.449875,126.39992,064-799-2299,064-799-2299,,카페,"애월에 위치한 오가닉 테마 카페, 유기농 원재료로만 만든 식사와 차",4.14,
CNTS_000000000022664,노라바,제주시 애월읍 구엄길 100,33.48283,126.376434,064-772-1900,0507-1360-1900,,라면,매일 아침 직접 끓인 육수로 맛을 내는 해물라면,,
CNTS_000000000018970,우도이야기,제주특별자치도 제주시 우도면 우도해안길 504,33.51954,126.94941,064-783-6945,064-783-6945,,한식,우도에서 맛보는 신선한 회덮밥과 해물라면,4.6,
CNTS_000000000021502,대성아귀찜,제주특별자치도 제주시 조천읍 함덕3길 4,33.54425,126.658,064-784-0975,064-784-0975,,"아귀찜,해물찜",아귀가 통으로 들어간 푸짐한 아귀찜,4.43,
CNTS_000000000020820,올댓제주,제주특별자치도 제주시 중앙로1길 33 2층,33.5162354,126.5284396,064-901-7893,064-901-7893,매일18:00 - 24:00,"맥주,호프","바다와 땅에서 거둔 것으로 차린 요리, 여기에 좋은 벗이 될 만한 술을 함께 내는 다정한 비스트로
2016 KOREAT JEJU TOP 10 선정",4.25,
CONT_000000000501412,한성식당,제주특별자치도 서귀포시 성산읍 일출로 287,33.4631697,126.9350183,064-782-4646,064-782-4646,,"해물,생선요리",성산일출봉 인근에 위치한 향토음식점,,
CNTS_000000000000785,이어도식당,제주특별자치도 서귀포시 표선면 성읍정의현로22번길 10-1,33.384068,126.80208,064-787-4333,064-787-4333,,한정식,제주 고사리 삼겹살을 제대로 느낄수 있는 식당,4.62,
CNTS_000000000020145,해월정,제주특별자치도 제주시 구좌읍 해맞이해안로 2340,33.4880673,126.8804954,064-782-5664,064-782-5664,,"해물,생선요리",종달리 바다내음과 고소한 보말의 완벽한 조화를 맛보다,4.22,
CNTS_000000000018890,우도왕자이야기,제주특별자치도 제주시 우도면 우도해안길 252,33.50263,126.94384,010-4049-3303,010-4049-3303,,아이스크림,서빈백사해변에 있는 우도땅콩아이스크림 가게,4.33,
CNTS_000000000018363,우수미회센타,제주특별자치도 제주시 연화로2길 24-1,33.4772855,126.4899617,064-745-3848,064-745-3848,,생선회,"제주도에 최초로 전어를 소개하고 유통한 집이다. 메뉴판은 제철 생선을 중심으로 매일 바뀌며, 간단하지만 먹을것만 있는 반찬들이 등장하는 것이 장점이다.",4.51,
CNTS_000000000018397,숨비나리카페,제주특별자치도 서귀포시 안덕면 중산간서로1615번길 8,33.282284,126.348366,010-7191-9861,010-7191-9861,,"카페,디저트",아름다운 뷰가 돋보이는 브런치 카페,4.4,
CNTS_000000000018339,안녕육지사람,제주특별자치도 제주시 우도면 우도해안길 792,33.515114,126.957245,070-4225-0170,0507-1387-0186,매일10:30 - 16:30,"카페,디저트",하고수동해수욕장 앞에 위치한 카페,4.55,
CNTS_000000000020164,카페제주동네,제주특별자치도 제주시 구좌읍 종달로5길 23,33.493282,126.8987,070-8900-6621,070-8900-6621,,카페,종달리에 위치한 작은 카페로 종달리의 정취를 담고 있다,4.65,
CNTS_000000000020352,바당지기,제주특별자치도 제주시 구좌읍 해맞이해안로 480,33.5547935,126.7980411,064-784-6258,064-784-6258,일09:00 - 21:00,"해물,생선요리",입안에 가득 퍼지는 제주의 바다향,4.23,
