ID,name,tags
CNTS_000000000000597,아라고나이트 고온천,"온천,실내,휴식/힐링,부모,비.눈,겨울,실내관광지,호텔,숙소,어트랙션,공용주차장"
CNTS_000000000000614,비체올린,"야영장,캠핑장,액티비티,아이,맑음,체험,레저/체험,어린이,수상레저,언택트,어트랙션,안전여행스탬프,반려동물,반려동물동반입장,혼저옵서개,테마공원,반려동물동반_관광지,공용주차장,화장실,장애인 전용 주차장,아주 어려움,무장애관광"
CNTS_000000000000970,제주추사관,"미술/박물관,흐림,겨울,실내관광지,어트랙션,공용주차장,현금결제,카드결제,화장실,무료 WIFI,음료대,유도 및 안내시설,경보 및 피난시설,엘리베이터,시각장애인 접근성,저상버스 접근 가능,장애인 화장실,승강기,장애인 전용 주차장,수동 휠체어 대여 가능,어려움,실내+실외,하,공연/전시,1~2시간,무장애관광"
CNTS_000000000000976,제주동백마을,"웰니스,만남,즐김,치유,체험,부모,자연경관,마을산책,마을관광,동백,어트랙션,공용주차장,화장실,편의점"
CNTS_000000000001158,메이즈랜드,"부모,아이,테마공원,미술/박물관,경관/포토,전시와 행사,우수관광사업체,실내관광지,포토스팟,어린이,어트랙션,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,음료대,유도 및 안내시설,경보 및 피난시설,임산부 휴게시설,단차없음,장애인 화장실,장애인 전용 주차장,수동 휠체어 대여 가능,전동 휠체어 대여 가능,쉬움,실내+실외,하,공연/전시,2~3시간,무장애관광"
CNTS_000000000001195,카멜리아힐,"경관/포토,커플,아이,맑음,겨울,힐링,자연경관,포토스팟,어린이,어트랙션,동백,수국,공용주차장,현금결제,카드결제,화장실,단독접근가능,단차없음,장애인 화장실,장애인 전용 주차장,수동 휠체어 대여 가능,아주 어려움,실외,중,공연/전시,2~3시간,무장애관광"
CNTS_000000000001196,표선해수욕장,"해수욕장,액티비티,커플,맑음,여름,자연경관,체험,레저/체험,해변,물놀이,수상레저,반려동물,반려동물동반입장,혼저옵서개,반려동물동반해변,화장실,음료대,유도 및 안내시설,경보 및 피난시설,단독접근가능,단차없음,장애인 화장실,쉬움,4.3,문화유적지,문화관광,제주4.3,역사유적,어트랙션,반려동물동반_해변,반려동물동반_자연,무장애관광,반려동물동반_관광지"
CNTS_000000000001511,롯데스카이힐제주CC,"골프,액티비티,체험,레저/체험,어트랙션,공용주차장,현금결제,카드결제,화장실,흡연구역,편의점,음료대,유도 및 안내시설,경보 및 피난시설,단차없음,장애인 전용 주차장,어려움,무장애관광"
CNTS_000000000018248,더럭초등학교,"경관/포토,커플,아이,맑음,봄,화장실,단독접근가능,단차없음,어려움,포토스팟,어린이,봄꽃,벚꽃,무장애관광"
CNTS_000000000018295,종달리수국길,"수국,꽃,걷기/등산,경관/포토,커플,맑음,여름,자연경관,도보여행,포토스팟"
CNTS_000000000018300,약천사,"실내,휴식/힐링,부모,흐림,여름,공용주차장,화장실,문화관광,어트랙션"
CNTS_000000000018311,서귀포치유의숲,"웰니스,자연,숲,치유,숲길,걷기/등산,부모,자연경관,도보여행,럭셔리트래블인제주,공용주차장,화장실,아주 어려움,실외,상,기타,숲길 , 산책로"
CNTS_000000000018332,김만덕기념관,"실내,미술/박물관,친구,비.눈,겨울,문화관광,어트랙션,엘리베이터,임산부 휴게시설,단독접근가능,단차없음,시각장애인 접근성,장애인 화장실,승강기,장애인 전용 주차장,수동 휠체어 대여 가능,쉬움,하,공연/전시,기타,1시간 미만,무장애관광"
CNTS_000000000018340,월평포구,"포구,해변,문화유적지,맑음,자연경관,역사유적,공용주차장"
CNTS_000000000018362,선운정사,"밤,경관/포토,휴식/힐링,부모,흐림,여름,문화관광,포토스팟,단독접근가능,단차없음,아주 어려움,무장애관광"
CNTS_000000000018383,황우지해안,"해변,경관/포토,액티비티,친구,커플,맑음,여름,자연경관,체험,레저/체험,포토스팟,수상레저,어트랙션"
CNTS_000000000018384,방주교회,"부모,커플,친구,아이,맑음,사계절,공용주차장,유도 및 안내시설,경보 및 피난시설,장애인 화장실,장애인 전용 주차장,아주 어려움,실내+실외,포토스팟,종교시설, 건축물,문화관광,어린이,어트랙션,무장애관광"
CNTS_000000000018385,김경숙해바라기농장,"커플,친구,아이,부모,혼자,경관/포토,여름,맑음,자연경관,포토스팟,어린이,어트랙션,해바라기"
CNTS_000000000018406,법환포구,"포구,일출,해변,문화유적지,공용주차장,자연경관,역사유적"
CNTS_000000000018407,낙천리아홉굿의자마을,"휴식/힐링,아이,맑음,가을,문화관광,마을산책,마을관광,어린이,어트랙션,반려동물동반입장,반려동물동반_관광지,무장애관광,단독접근가능,단차없음,쉬움"
CNTS_000000000018409,외돌개,"일출,해변,경관/포토,휴식/힐링,맑음,가을,자연경관,포토스팟,반려동물,반려동물동반입장,혼저옵서개,반려동물동반관광지,공용주차장,화장실,아주 어려움,1시간 미만,반려동물동반_관광지"
CNTS_000000000018411,알작지해변,"해변,경관/포토,커플,가을,자연경관,포토스팟"
CNTS_000000000018413,광치기해변,"일출,해변,경관/포토,흐림,봄,자연경관,포토스팟,봄꽃,유채꽃,반려동물,반려동물동반입장,혼저옵서개,반려동물동반해변,공용주차장,단독접근가능,단차없음,장애인 화장실,장애인 전용 주차장,아주 어려움,반려동물동반_해변,반려동물동반_자연,무장애관광,반려동물동반_관광지"
CNTS_000000000018419,제주대학교,"걷기/등산,맑음,도보여행,봄꽃,벚꽃"
CNTS_000000000018421,한림항,"맑음,공용주차장,아주 어려움"
CNTS_000000000018432,가파도,"섬속의섬,경관/포토,휴식/힐링,친구,커플,맑음,봄,자연경관,포토스팟,언택트"
CNTS_000000000018441,추자도,"경관/포토,가을,자연경관,포토스팟"
CNTS_000000000018442,누웨마루거리,"커플,친구,부모,혼자,아이,사계절,어린이,어트랙션"
CNTS_000000000018445,삼화포구,"포구,해변,문화유적지,자연경관,역사유적"
CNTS_000000000018446,안친오름,"커플,친구,맑음,부모,혼자,아이,오름,자연경관,도보여행,어린이"
CNTS_000000000018447,서귀포칠십리시공원,"휴식/힐링,커플,맑음,봄,공용주차장,화장실,편의점,음료대,매화"
CNTS_000000000018449,와흘본향당,"문화유적지,문화관광,역사유적,어트랙션"
CNTS_000000000018460,명월성지,"문화유적지,문화관광,역사유적,언택트,어트랙션"
CNTS_000000000018468,제주동백수목원,"경관/포토,커플,겨울,제주동백수목원,자연경관,포토스팟,공용주차장"
CNTS_000000000018472,김녕금속공예벽화마을,"예술,경관/포토,문화유적지,커플,흐림,가을,단독접근가능,단차없음,쉬움,문화관광,역사유적,마을산책,마을관광,포토스팟,무장애관광"
CNTS_000000000018483,뒤굽은이오름,"커플,친구,맑음,오름,자연경관,도보여행"
CNTS_000000000018496,노을승마장,"승마,액티비티,체험,레저/체험,어트랙션"
CNTS_000000000018504,마라도등대,"등대,경관/포토,포토스팟"
CNTS_000000000018505,마라도성당,"실내,휴식/힐링,부모,가을,어트랙션"
CNTS_000000000018507,마라도관광쉼터,"부모,화장실,아주 어려움,어트랙션"
CNTS_000000000018510,마라도기원정사,"문화유적지,공용주차장,문화관광,역사유적,어트랙션"
CNTS_000000000018513,돈대산,"커플,친구,맑음,오름,자연경관"
CNTS_000000000018514,봉글레산,"오름,걷기/등산,맑음,자연경관"
CNTS_000000000018516,나바론절벽,"산,경관/포토,가을,자연경관,포토스팟"
CNTS_000000000018521,신대산전망대,"부모,친구,커플,혼자,경관/포토,휴식/힐링,액티비티,아주 어려움,체험,레저/체험,포토스팟,어트랙션"
CNTS_000000000018654,해거름전망대,"경관/포토,맑음,포토스팟,어트랙션,공용주차장"
CNTS_000000000018795,창고천생태공원,"계곡,걷기/등산,흐림,봄,아주 어려움,자연경관,물놀이"
CNTS_000000000018801,하늘여행 행글라이더체험장,"커플,친구,아이,액티비티,공용주차장,체험,레저/체험,어린이,어트랙션"
CNTS_000000000018843,여절악,"커플,혼자,친구,맑음,오름,봄,가을,아주 어려움,자연경관,도보여행"
CNTS_000000000018867,등머을레져,"액티비티,맑음,체험,레저/체험,수상레저,어트랙션"
CNTS_000000000018885,송악카트체험장,"액티비티,아이,맑음,체험,레저/체험,어린이,수상레저,어트랙션,공용주차장,현금결제,카드결제,화장실,흡연구역,아주 어려움"
CNTS_000000000018894,고산일과해안도로,"일몰,해변,드라이브,커플,맑음"
CNTS_000000000018956,우도올레보트,"올레,액티비티,맑음,체험,레저/체험,수상레저,어트랙션"
CNTS_000000000019003,제주국제예술센터,"예술,실내,미술/박물관,흐림,사계절,공용주차장,아주 어려움,실내관광지,어트랙션"
CNTS_000000000019012,형제해안도로,"해변,드라이브,맑음,가을"
CNTS_000000000019073,후포해변,"해변,경관/포토,자연경관,포토스팟"
CNTS_000000000019077,추자등대,"등대,경관/포토,맑음,가을,포토스팟"
CNTS_000000000019084,섬생이,"휴식/힐링,자연경관"
CNTS_000000000019087,모진이몽돌해변,"해변,경관/포토,맑음,여름,자연경관,포토스팟"
CNTS_000000000019089,오름터 민속마을,"오름,문화유적지,아이,흐림,문화관광,역사유적,도보여행,마을산책,마을관광,어린이"
CNTS_000000000019091,묵리처녀당,"문화유적지,문화관광,역사유적,어트랙션"
CNTS_000000000019113,상추자항,"혼자,친구,맑음,추자도"
CNTS_000000000019115,추자도등대,"등대,경관/포토,맑음,포토스팟,어트랙션"
CNTS_000000000019122,세계술박물관,"실내,미술/박물관,친구,비.눈,겨울,실내관광지,문화관광,어트랙션,공용주차장,현금결제,카드결제,화장실,음료대,유도 및 안내시설,경보 및 피난시설,하,공연/전시,1시간 미만"
CNTS_000000000019194,위미항,"해변,여자,남자,맑음,언택트"
CNTS_000000000019228,자구리공원,"부모,커플,혼자,친구,아이,맑음,밤,자연경관,어린이"
CNTS_000000000019309,성읍랜드,"커플,친구,아이,맑음,액티비티,실내관광지,체험,레저/체험,어린이,어트랙션,공용주차장,현금결제,카드결제,화장실,무료 WIFI,음료대,유도 및 안내시설,경보 및 피난시설,어려움"
CNTS_000000000019331,천제연폭포,"폭포,경관/포토,커플,아이,맑음,여름,포토스팟,어린이,봄꽃,벚꽃,공용주차장,현금결제,카드결제,화장실,장애인 화장실,장애인 전용 주차장,어려움,실외,4.3,문화유적지,친구,흐림,문화관광,제주4.3,역사유적,어트랙션,무장애관광"
CNTS_000000000019350,우도 봉수대,"문화유적지,공용주차장,문화관광,역사유적"
CNTS_000000000019444,비블리아성서식물원,"수목원,테마공원,흐림,맑음,실내관광지,어트랙션,공용주차장,현금결제,카드결제,화장실,유도 및 안내시설,경보 및 피난시설"
CNTS_000000000019446,금능석물원,"테마공원,실내관광지,어트랙션,안전여행스탬프,공용주차장,화장실,단독접근가능,단차없음,장애인 화장실,장애인 전용 주차장,수동 휠체어 대여 가능,어려움,1시간 미만,무장애관광"
CNTS_000000000019458,옹포천,"휴식/힐링,맑음,자연경관,공용주차장,화장실"
CNTS_000000000019464,제주카트클럽,"커플,친구,아이,맑음,액티비티,공용주차장,현금결제,카드결제,화장실,아주 어려움,체험,레저/체험,어린이,어트랙션"
CNTS_000000000019470,제주해양레저,"해수욕장,액티비티,맑음,체험,레저/체험,해변,물놀이,수상레저,어트랙션"
CNTS_000000000019530,박수기정,"절벽,경관/포토,해변,자연경관,포토스팟,반려동물,반려동물동반입장,혼저옵서개,반려동물동반해변,아주 어려움,반려동물동반_해변,반려동물동반_자연,반려동물동반_관광지"
CNTS_000000000019535,제주레포츠랜드,"액티비티,아이,맑음,체험,레저/체험,어린이,어트랙션,반려동물,반려동물동반입장,혼저옵서개,반려동물동반관광지,공용주차장,현금결제,카드결제,화장실,단독접근가능,단차없음,어려움,반려동물동반_관광지,무장애관광"
CNTS_000000000019536,가메오름,"오름,걷기/등산,맑음,자연경관,도보여행"
CNTS_000000000019552,대평포구,"포구,해변,문화유적지,가을,문화관광,역사유적"
CNTS_000000000019566,수산저수지,"경관/포토,휴식/힐링,아주 어려움,자연경관,포토스팟"
CNTS_000000000019568,제주국제공항,"공항,제주국제공항,실내관광지,어트랙션,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,음료대,유도 및 안내시설,경보 및 피난시설,임산부 휴게시설,엘리베이터,단독접근가능,단차없음,청각장애인 접근성,시각장애인 접근성,저상버스 접근 가능,장애인 전용 리프트,장애인 화장실,승강기,장애인 전용 주차장,수동 휠체어 대여 가능,전동 휠체어 대여 가능,테이블 비치,쉬움,문화유적지,4.3,무장애관광,문화관광,제주4.3,역사유적"
CNTS_000000000019572,신비의도로카트체험장,"액티비티,아이,맑음,봄,체험,레저/체험,어린이,어트랙션,드라이브"
CNTS_000000000019573,애월환해장성,"문화유적지,가을,아주 어려움,자연경관,문화관광,역사유적"
CNTS_000000000019594,원앙폭포,"폭포,커플,경관/포토,여름,공용주차장,물놀이,트레킹,자연경관,포토스팟"
CNTS_000000000019601,돈내코유원지,"계곡,액티비티,아이,맑음,여름,체험,레저/체험,어린이,수상레저,어트랙션,물놀이,화장실"
CNTS_000000000019613,제주카약,"액티비티,커플,맑음,체험,레저/체험,수상레저,어트랙션"
CNTS_000000000019639,중문승마공원,"커플,친구,아이,액티비티,봄,가을,공용주차장,현금결제,카드결제,화장실,아주 어려움,승마,체험,레저/체험,어린이,어트랙션"
CNTS_000000000019652,김만덕객주,"부모,커플,친구,혼자,흐림,맑음,문화유적지,실내관광지,문화관광,역사유적,어트랙션,반려동물,반려동물동반입장,혼저옵서개,식당,객주,미니민속,반려동물동반식당카페,화장실,실내+실외,하,체험,공연/전시,기타,1~2시간,반려동물동반_식당카페,반려동물동반_관광지"
CNTS_000000000019654,해품은체험농장,"부모,친구,아이,체험관광,맑음,공용주차장,어린이,어트랙션"
CNTS_000000000019692,비양도등대,"등대,경관/포토,맑음,봄,포토스팟"
CNTS_000000000019743,종달리해변,"해변,경관/포토,친구,커플,맑음,여름,자연경관,포토스팟"
CNTS_000000000019747,제주다원 녹차미로공원,"테마공원,아이,흐림,봄,어린이,녹차,어트랙션,반려동물,반려동물동반입장,혼저옵서개,반려동물동반관광지,공용주차장,현금결제,카드결제,화장실,무료 WIFI,반려동물동반_관광지"
CNTS_000000000019750,남원큰엉해변,"해변,경관/포토,맑음,여름,실외,중,기타,전망 관람,1시간 미만,자연경관,포토스팟"
CNTS_000000000019754,약천사 템플스테이,"템플스테이,휴식/힐링,커플,흐림,사계절,공용주차장,현금결제,화장실,실내관광지,체험,어트랙션"
CNTS_000000000019758,조안베어뮤지엄,"실내,테마공원,아이,비.눈,흐림,사계절,실내관광지,어린이,어트랙션,공용주차장,현금결제,카드결제,화장실,유도 및 안내시설,경보 및 피난시설"
CNTS_000000000019761,곽지해수욕장야영장,"야영장,캠핑장,해수욕장,액티비티,아이,맑음,자연경관,체험,레저/체험,해변,물놀이,어린이,수상레저,언택트,어트랙션"
CNTS_000000000019763,귤빛캠핑장,"야영장,캠핑장,액티비티,커플,맑음,여름,체험,레저/체험,언택트,어트랙션,반려동물,반려동물동반입장,혼저옵서개,숙박,반려동물동반숙소,반려동물동반_숙소,반려동물동반_관광지"
CNTS_000000000019866,제주플래티늄카라반,"야영장,캠핑장,액티비티,맑음,공용주차장,현금결제,카드결제,화장실,무료 WIFI,음료대,유도 및 안내시설,경보 및 피난시설,체험,레저/체험,언택트,어트랙션"
CNTS_000000000019888,중문카라반,"야영장,캠핑장,액티비티,맑음,체험,레저/체험,언택트,어트랙션,공용주차장,아주 어려움"
CNTS_000000000019922,조천만세동산,"문화유적지,봄,문화관광,역사유적"
CNTS_000000000019926,올레여행자센터,"커플,혼자,친구,올레,공용주차장,현금결제,카드결제,화장실,무료 WIFI,아주 어려움,도보여행,어트랙션"
CNTS_000000000019946,귀빈사,"실내,문화유적지,흐림,봄,문화관광,역사유적,어트랙션,부모,커플,혼자,친구,아이,오름,아주 어려움,자연경관,도보여행,어린이"
CNTS_000000000019949,용연카누클럽,"커플,친구,맑음,경관/포토,휴식/힐링,체험관광,액티비티,청년,휴식/치유,현금결제,카드결제,화장실,레저/체험,포토스팟,waterleisure,수상레저,어트랙션"
CNTS_000000000019956,케이제주씨워킹,"해수욕장,액티비티,친구,커플,맑음,여름,현금결제,카드결제,화장실,체험,레저/체험,해변,물놀이,어트랙션"
CNTS_000000000019970,백록담,"커플,혼자,친구,경관/포토,맑음,사계절,등산,아주 어려움,자연경관,포토스팟,한라산,언택트"
CNTS_000000000019979,김녕사굴,"동굴,문화유적지,아주 어려움,자연경관,문화관광,역사유적"
CNTS_000000000019986,소천지,"해변,경관/포토,가을,자연경관,포토스팟"
CNTS_000000000019989,어리목계곡,"비.눈,가을,사계절,겨울,자연경관,한라산,언택트,계곡,물놀이"
CNTS_000000000019990,서귀포항,"친구,커플,일출,밤,부모,혼자,아이,맑음,휴식/힐링,일몰,공용주차장,화장실,어려움,어린이"
CNTS_000000000019998,종달리해안도로,"일출,드라이브,커플,맑음,여름"
CNTS_000000000020000,도두해안도로,"드라이브,커플,맑음,여름"
CNTS_000000000020012,탑동해변공연장,"부모,커플,혼자,친구,아이,맑음,여름,해변,어린이,어트랙션"
CNTS_000000000020050,보롬왓,"경관/포토,휴식/힐링,친구,커플,맑음,봄,여름,가을,자연경관,포토스팟,수국,반려동물,반려동물동반입장,혼저옵서개,반려동물동반관광지,공용주차장,무료 WIFI,현금결제,카드결제,반려동물동반_관광지"
CNTS_000000000020100,돈대산산림휴양산책로,"산,걷기/등산,흐림,맑음,자연경관,아주 어려움"
CNTS_000000000020139,제주레일바이크,"친구,경관/포토,체험관광,액티비티,가을,레저/체험,포토스팟,어트랙션,반려동물,반려동물동반입장,반려동물동반_관광지,무장애관광,공용주차장,현금결제,카드결제,화장실,편의점,단독접근가능,단차없음,장애인 전용 주차장,어려움,우수관광사업체,실외,상,1시간 미만"
CNTS_000000000020148,수월봉,"부모,커플,혼자,친구,아이,맑음,가을,경관/포토,일몰,휴식/힐링,자연경관,포토스팟,어린이,언택트,유네스코,공용주차장,화장실,실외,상,등산,기타,올레코스 . 해설 : 평일 09:00~16:30,1시간 미만"
CNTS_000000000020155,맬튼개 갯담,"커플,아이,부모,친구,휴식/힐링,해변,어린이"
CNTS_000000000020170,서귀포층패류화석산지,"지질공원,해변,경관/포토,맑음,자연경관,포토스팟,어트랙션,유네스코,아주 어려움"
CNTS_000000000020182,관음사,"템플스테이,산,휴식/힐링,흐림,봄,공용주차장,화장실,아주 어려움,한라산,언택트,어트랙션,단풍"
CNTS_000000000020195,순례자의교회,"휴식/힐링,가을,어트랙션"
CNTS_000000000020199,이중섭거리,"예술,걷기/등산,커플,맑음,가을"
CNTS_000000000020224,왕이메오름,"오름,휴식/치유,액티비티,휴식/힐링,경관/포토,혼자,친구,맑음,흐림,공용주차장,자연경관,체험,도보여행,레저/체험,포토스팟,어트랙션"
CNTS_000000000020230,아침미소목장,"체험관광,아이,맑음,봄,어린이,어트랙션,반려동물,반려동물동반입장,혼저옵서개,사진명소,테마공원,포토존,반려동물동반_관광지"
CNTS_000000000020236,산지천,"계곡,걷기/등산,아이,자연경관,어린이,물놀이"
CNTS_000000000020260,서귀다원,"커플,친구,맑음,경관/포토,휴식/힐링,봄,여름,자연경관,포토스팟,녹차,어트랙션,공용주차장,현금결제,카드결제,화장실,음료대"
CNTS_000000000020277,공천포,"해변,문화유적지,친구,여름,자연경관,역사유적"
CNTS_000000000020343,모슬포항,"커플,친구,맑음,해변,공용주차장"
CNTS_000000000020371,예래포구,"포구,해변,문화유적지,여름,공용주차장,어려움,자연경관,역사유적"
CNTS_000000000020560,서광동리 곶자왈 생태탐방로,"숲길,걷기/등산,흐림,여름,도보여행,곶자왈"
CNTS_000000000020565,우도등대,"등대,경관/포토,친구,맑음,봄,포토스팟"
CNTS_000000000020606,아라리오뮤지엄동문모텔2,"실내,미술/박물관,비.눈,사계절,현금결제,카드결제,화장실,무료 WIFI,유도 및 안내시설,경보 및 피난시설,엘리베이터,승강기,아주 어려움,실내관광지,문화관광,어트랙션,무장애관광"
CNTS_000000000020607,아라리오뮤지엄동문모텔1,"실내,미술/박물관,비.눈,겨울,현금결제,카드결제,화장실,무료 WIFI,음료대,유도 및 안내시설,경보 및 피난시설,엘리베이터,승강기,아주 어려움,실내관광지,문화관광,어트랙션,무장애관광"
CNTS_000000000020631,제주도립김창열미술관,"미술/박물관,저지예술인마을,저지리,실내관광지,문화관광,미술관,어트랙션,공용주차장,현금결제,카드결제,화장실,무료 WIFI,유도 및 안내시설,경보 및 피난시설,중,공연/전시,1시간 미만"
CNTS_000000000020639,꽃썸,"해변,카페,포토스팟,휴식,부모,친구,커플,혼자,안개/흐림,맑음,봄,여름,가을,겨울,중/장년,청년,노년,어트랙션"
CNTS_000000000020686,낭만농장 귤밭76번지,"체험관광,아이,맑음,겨울,공용주차장,현금결제,화장실,음료대,유도 및 안내시설,경보 및 피난시설,어린이,어트랙션"
CNTS_000000000020780,구엄리돌염전,"일몰,해변,문화유적지,맑음,가을,공용주차장,자연경관,역사유적,어트랙션"
CNTS_000000000020880,제주워터월드,"부모,친구,아이,맑음,액티비티,공용주차장,현금결제,카드결제,화장실,무료 WIFI,편의점,음료대,유도 및 안내시설,경보 및 피난시설,아주 어려움,실내관광지,체험,레저/체험,어린이,수상레저,어트랙션"
CNTS_000000000020929,신도포구,"포구,해변,문화유적지,자연경관,역사유적,아주 어려움"
CNTS_000000000020931,하모해수욕장,"커플,친구,아이,맑음,해변,공용주차장,화장실,자연경관,어린이"
CNTS_000000000020935,동일리포구,"포구,해변,문화유적지,자연경관,역사유적"
